start	end	text
272000	275000	It can be used for urban planning.
275000	282000	It can be used to transport small goods.
282000	286000	The drone is made of carbon fiber.
286000	292000	It is light and can be used to control the area.
293000	301000	We can install on-board computers to control the communication system.
301000	308000	Whether it is using 4G or 5G, we can work together with this drone.
317000	320000	The drone works with Nomad.
320000	325000	We have a software to plan where to cover the area,
325000	327000	how to plan the flight,
327000	328000	where to take pictures,
328000	331000	and collect the data for further analysis.
350000	361000	Once we have the data, we can use it for analysis.
361000	374000	We can use the data to see whether the area is well-planned.
374000	381000	We can plan the area to make it easier for farmers to work.
381000	388000	We can plan the area to make it easier for farmers to work.
388000	397000	Some agricultural projects require a well-planned area.
398000	404000	Some agricultural projects require a well-planned area.
404000	433000	We can use the multi-spectrum data to see whether the soil is hard or soft.
433000	438000	We can use the multi-spectrum data to see whether the soil is hard or soft.
438000	451000	We can use the multi-spectrum data to see whether the soil is hard or soft.
451000	461000	We can use the multi-spectrum data to see whether the soil is hard or soft.
461000	471000	We can use the multi-spectrum data to see whether the soil is hard or soft.
471000	499000	We can use the multi-spectrum data to see whether the soil is hard or soft.
501000	526000	We can use the multi-spectrum data to see whether the soil is hard or soft.
526000	541000	We can use the multi-spectrum data to see whether the soil is hard or soft.
541000	569000	We can use the multi-spectrum data to see whether the soil is hard or soft.
569000	579000	We can use the multi-spectrum data to see whether the soil is hard or soft.
579000	607000	We can use the multi-spectrum data to see whether the soil is hard or soft.
607000	625000	We can use the multi-spectrum data to see whether the soil is hard or soft.
625000	653000	We can use the multi-spectrum data to see whether the soil is hard or soft.
653000	673000	We can use the multi-spectrum data to see whether the soil is hard or soft.
673000	701000	We can use the multi-spectrum data to see whether the soil is hard or soft.
701000	711000	We can use the multi-spectrum data to see whether the soil is hard or soft.
731000	751000	We can use the multi-spectrum data to see whether the soil is hard or soft.
751000	779000	We can use the multi-spectrum data to see whether the soil is hard or soft.
781000	807000	We can use the multi-spectrum data to see whether the soil is hard or soft.
807000	835000	We can use the multi-spectrum data to see whether the soil is hard or soft.
837000	865000	We can use the multi-spectrum data to see whether the soil is hard or soft.
867000	895000	We can use the multi-spectrum data to see whether the soil is hard or soft.
897000	925000	We can use the multi-spectrum data to see whether the soil is hard or soft.
927000	955000	We can use the multi-spectrum data to see whether the soil is hard or soft.
957000	985000	We can use the multi-spectrum data to see whether the soil is hard or soft.
985000	1013000	We can use the multi-spectrum data to see whether the soil is hard or soft.
1015000	1043000	We can use the multi-spectrum data to see whether the soil is hard or soft.
1043000	1071000	We can use the multi-spectrum data to see whether the soil is hard or soft.
1071000	1099000	We can use the multi-spectrum data to see whether the soil is hard or soft.
1099000	1125000	We can use the multi-spectrum data to see whether the soil is hard or soft.
1125000	1153000	We can use the multi-spectrum data to see whether the soil is hard or soft.
1155000	1183000	We can use the multi-spectrum data to see whether the soil is hard or soft.
1185000	1211000	We can use the multi-spectrum data to see whether the soil is hard or soft.
1211000	1239000	We can use the multi-spectrum data to see whether the soil is hard or soft.
1239000	1267000	We can use the multi-spectrum data to see whether the soil is hard or soft.
1269000	1297000	We can use the multi-spectrum data to see whether the soil is hard or soft.
1299000	1327000	We can use the multi-spectrum data to see whether the soil is hard or soft.
1329000	1355000	We can use the multi-spectrum data to see whether the soil is hard or soft.
1355000	1383000	We can use the multi-spectrum data to see whether the soil is hard or soft.
1385000	1413000	We can use the multi-spectrum data to see whether the soil is hard or soft.
1415000	1435000	We can use the multi-spectrum data to see whether the soil is hard or soft.
1435000	1463000	We can use the multi-spectrum data to see whether the soil is hard or soft.
1465000	1475000	We can use the multi-spectrum data to see whether the soil is hard or soft.
1475000	1495000	We can use the multi-spectrum data to see whether the soil is hard or soft.
1495000	1523000	We can use the multi-spectrum data to see whether the soil is hard or soft.
1523000	1551000	We can use the multi-spectrum data to see whether the soil is hard or soft.
1553000	1581000	We can use the multi-spectrum data to see whether the soil is hard or soft.
1583000	1611000	We can use the multi-spectrum data to see whether the soil is hard or soft.
1611000	1639000	We can use the multi-spectrum data to see whether the soil is hard or soft.
1639000	1667000	We can use the multi-spectrum data to see whether the soil is hard or soft.
1669000	1689000	We can use the multi-spectrum data to see whether the soil is hard or soft.
1689000	1717000	We can use the multi-spectrum data to see whether the soil is hard or soft.
1717000	1745000	We can use the multi-spectrum data to see whether the soil is hard or soft.
1745000	1773000	We can use the multi-spectrum data to see whether the soil is hard or soft.
1773000	1801000	We can use the multi-spectrum data to see whether the soil is hard or soft.
1801000	1829000	We can use the multi-spectrum data to see whether the soil is hard or soft.
1831000	1857000	We can use the multi-spectrum data to see whether the soil is hard or soft.
1857000	1863000	Thank you to all three speakers.
1863000	1885000	Thank you to all three speakers.
1885000	1913000	Thank you to all three speakers.
1913000	1921000	Thank you to all three speakers.
1943000	1971000	Thank you to all three speakers.
1973000	2001000	Thank you to all three speakers.
2003000	2006000	Thank you to all three speakers.
